state,year,month,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,Coal,Solar,Total Generation,Wind
Maharashtra,2024,12,30.008387096774197,17.53290322580645,71.76225806451613,5.11,5351.84,323.33,13876.65,159.315
Maharashtra,2025,1,31.99,18.33,68.91,0.0,5595.28,391.78,14233.32,160.93
Manipur,2024,1,21.080967741935485,7.421290322580645,60.4583870967742,0.04,0.0,1.495,25.76,0.0
Manipur,2024,2,22.28206896551724,9.594827586206897,64.79551724137932,53.93,0.0,2.9450000000000003,11.61,0.0
Manipur,2024,3,26.200000000000003,13.200645161290325,62.531612903225806,59.68,0.0,2.9,14.02,0.0
Manipur,2024,4,29.907666666666668,17.998,67.12366666666667,101.49,0.0,2.325,18.11,0.0
Manipur,2024,5,29.006129032258062,19.698709677419355,75.80354838709677,300.19,0.0,1.695,26.62,0.0
Manipur,2024,6,28.222,21.016,86.55266666666667,227.02,0.0,0.8200000000000001,76.37,0.0
Manipur,2024,7,28.59,21.4358064516129,87.07967741935484,325.8,0.0,0.81,78.87,0.0
Manipur,2024,8,27.49967741935484,20.84258064516129,88.82322580645162,320.21,0.0,0.8,78.36,0.0
Manipur,2024,9,28.087,20.884666666666664,85.43433333333334,155.79,0.0,0.825,74.18,0.0
Manipur,2024,10,25.29096774193548,17.96,88.25193548387097,157.21,0.0,0.8,78.74,0.0
Manipur,2024,11,22.58933333333333,13.300666666666666,82.571,24.93,0.0,0.86,76.29,0.0
Manipur,2024,12,20.19677419354839,9.023225806451611,75.05806451612904,0.01,0.0,0.835,79.72,0.0
Manipur,2025,1,20.39,9.12,70.44,0.0,0.0,0.91,68.79,0.0
Meghalaya,2024,1,16.698387096774194,5.237741935483872,78.52677419354839,1.77,0.0,0.0,45.05,0.0
Meghalaya,2024,2,18.124137931034483,6.544827586206897,71.46620689655172,35.84,0.0,0.0,35.04,0.0
Meghalaya,2024,3,21.677419354838708,10.392258064516128,71.0009677419355,158.3,0.0,0.0,27.32,0.0
Meghalaya,2024,4,24.99833333333333,14.449666666666667,74.96633333333332,176.07,0.0,0.0,41.18,0.0
Meghalaya,2024,5,25.424516129032256,17.57903225806452,83.0725806451613,733.57,0.0,0.0,86.99,0.0
Meghalaya,2024,6,25.671333333333333,20.24833333333333,91.37033333333332,1317.19,0.0,0.0,158.57,0.0
Meghalaya,2024,7,26.364193548387096,20.70096774193549,91.46516129032258,745.22,0.0,0.0,190.48,0.0
Meghalaya,2024,8,25.218387096774197,19.753870967741936,92.3367741935484,764.39,0.0,0.0,170.33,0.0
Meghalaya,2024,9,26.555666666666664,19.287333333333333,87.75399999999999,224.38,0.0,0.0,105.53,0.0
Meghalaya,2024,10,23.664516129032258,16.52516129032258,89.0441935483871,253.86,0.0,0.0,91.3,0.0
Meghalaya,2024,11,21.198666666666668,11.433666666666666,81.28166666666667,2.68,0.0,0.0,37.97,0.0
Meghalaya,2024,12,18.226129032258065,7.055806451612903,77.6758064516129,0.0,0.0,0.0,30.51,0.0
Meghalaya,2025,1,17.1,6.21,86.1,0.0,0.0,0.0,42.39,0.0
